"CZ0003515033","ÈEPS 0,25/21      ","BDACEPS ","2020/11/09",99.65          ,.00      ,99.65          ,99.65          ,99.65          ,0            ,.00                ,"2016/10/04","U","2","F",.00            ,.00            ,.00            ,1      
"CZ0005112300","ÈEZ               ","BAACEZ  ","2020/11/09",475.00         ,2.26     ,464.50         ,358.00         ,523.50         ,265203       ,125618321.50       ,"2020/11/09","T","2","O",466.00         ,477.50         ,466.00         ,1      
"CZ0008041787","ÈEZ OZ UIF        ","BAACEZOZ","2020/11/09",348.00         ,.00      ,348.00         ,340.00         ,348.00         ,0            ,.00                ,"2017/12/28","U","2","F",.00            ,.00            ,.00            ,1      
"CZ0003513533","È.ZBROJOVKA VAR/22","BDACEZBR","2020/11/09",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"2016/09/23","U","2","F",.00            ,.00            ,.00            ,1      
"DE0005933931","DAX UCITS ETF     ","        ","2020/11/09",2506.00        ,.00      ,2506.00        ,2400.00        ,2714.00        ,0            ,.00                ,"2020/05/15","T","2","F",.00            ,.00            ,.00            ,1      
"CZ0008041944","DEKINVEST ALFA    ","BAADEKIF","2020/11/09",1470.00        ,.00      ,1470.00        ,1310.00        ,1470.00        ,0            ,.00                ,"2016/12/28","U","2","F",.00            ,.00            ,.00            ,1      
"CZ0003519365","DEKINVEST VAR/23  ","BDADEKIF","2020/11/09",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","U","2","F",.00            ,.00            ,.00            ,1      
"DE0005140008","DEUTSCHE BANK     ","        ","2020/11/09",235.50         ,2.88     ,228.90         ,125.92         ,255.00         ,596          ,137548.35          ,"2020/11/09","T","2","M",226.10         ,235.50         ,229.00         ,1      
"DE0005557508","DEUTSCHE TELEKOM  ","BAADETEL","2020/11/09",400.10         ,.00      ,400.10         ,294.10         ,408.00         ,0            ,.00                ,"2020/09/16","T","2","M",.00            ,.00            ,.00            ,1      
"CZ0003510851","DIAMOND 4,00/24   ","BDADIAPO","2020/11/09",100.00         ,.00      ,100.00         ,100.00         ,100.00         ,0            ,.00                ,"1900/01/01","U","2","F",.00            ,.00            ,.00            ,1      
"AT0000A1NG68","EB ADIDAS TL01    ","        ","2020/11/09",485.81         ,17.16    ,414.66         ,133.92         ,492.67         ,0            ,.00                ,"2020/09/22","E","2","F",.00            ,.00            ,432.96         ,1      
"AT0000A2BZS3","EB ADIDAS TS04    ","        ","2020/11/09",39.61          ,-65.08   ,113.42         ,33.22          ,430.40         ,600          ,23939.50           ,"2020/11/09","E","2","F",38.47          ,42.82          ,93.38          ,1      
"AT0000A2B6J9","EB AVAST BC01     ","        ","2020/11/09",998.34         ,-4.33    ,1043.48        ,618.47         ,1056.44        ,0            ,.00                ,"2020/10/30","E","2","F",.00            ,.00            ,1048.71        ,1      
"AT0000A2GKD6","EB BMW TL03       ","        ","2020/11/09",81.78          ,15.46    ,70.83          ,34.90          ,81.78          ,0            ,.00                ,"2020/11/04","E","2","F",.00            ,.00            ,72.78          ,1      
"AT0000A23G57","EB BMW TS02       ","        ","2020/11/09",59.76          ,-16.49   ,71.56          ,50.20          ,161.21         ,0            ,.00                ,"2020/10/29","E","2","F",.00            ,.00            ,69.03          ,1      
"AT0000A2GKG9","EB BMW TS04       ","        ","2020/11/09",10.59          ,-19.83   ,13.21          ,8.64           ,54.90          ,3000         ,32610.00           ,"2020/11/09","E","3","F",10.59          ,11.39          ,11.39          ,1      
"AT0000A20HK7","EB CBK TS03       ","        ","2020/11/09",23.97          ,-5.93    ,25.48          ,17.75          ,30.20          ,0            ,.00                ,"2018/11/08","E","2","F",.00            ,.00            ,25.18          ,1      
"AT0000A28CB0","EB CBK TS05       ","        ","2020/11/09",12.00          ,-10.78   ,13.45          ,6.17           ,17.52          ,0            ,.00                ,"1900/01/01","E","2","F",.00            ,.00            ,13.19          ,1      
"AT0000A1KC73","EB CEZ TL08       ","        ","2020/11/09",27.36          ,5.11     ,26.03          ,12.72          ,29.51          ,0            ,.00                ,"2020/07/17","E","2","F",.00            ,.00            ,26.56          ,1      
"AT0000A1KJZ5","EB CEZ TL09       ","        ","2020/11/09",30.99          ,4.52     ,29.65          ,16.28          ,33.01          ,0            ,.00                ,"2020/04/06","E","2","F",.00            ,.00            ,30.19          ,1      
"AT0000A2EMM8","EB CEZ TL11       ","        ","2020/11/09",22.23          ,6.41     ,20.89          ,16.70          ,23.56          ,0            ,.00                ,"2020/09/21","E","2","F",.00            ,.00            ,21.43          ,1      
"AT0000A21BE1","EB CEZ TS08       ","        ","2020/11/09",10.22          ,-11.90   ,11.60          ,9.61           ,26.72          ,0            ,.00                ,"2020/11/06","E","2","F",.00            ,.00            ,11.12          ,1      
"AT0000A2GLG7","EB DAIMLER TL03   ","        ","2020/11/09",86.84          ,8.67     ,79.91          ,33.49          ,86.84          ,0            ,.00                ,"2020/09/18","E","2","F",.00            ,.00            ,81.49          ,1      
"AT0000A20HL5","EB DAI TS02       ","        ","2020/11/09",52.78          ,-12.75   ,60.49          ,52.32          ,145.31         ,0            ,.00                ,"2020/07/21","E","2","F",.00            ,.00            ,58.39          ,1      
"AT0000A28CC8","EB DAI TS04       ","        ","2020/11/09",23.23          ,-24.53   ,30.78          ,23.18          ,113.82         ,0            ,.00                ,"2019/12/10","E","2","F",.00            ,.00            ,28.78          ,1      
"AT0000A2EHU1","EB DAX TL15       ","        ","2020/11/09",1578.96        ,12.13    ,1408.14        ,791.13         ,1605.50        ,0            ,.00                ,"2020/11/05","E","2","F",.00            ,.00            ,1443.34        ,1      
"AT0000A2KPU1","EB DAX TL16       ","        ","2020/11/09",1049.43        ,19.74    ,876.39         ,622.64         ,1049.43        ,0            ,.00                ,"2020/11/04","E","2","F",.00            ,.00            ,912.89         ,1      
"AT0000A19L31","EB DAX TS7        ","        ","2020/11/09",602.65         ,-23.40   ,786.74         ,523.79         ,2045.40        ,755          ,493264.45          ,"2020/11/09","E","2","F",594.35         ,739.93         ,741.52         ,1      
"AT0000A2EHX5","EB DBK TL07       ","        ","2020/11/09",14.57          ,8.65     ,13.41          ,5.48           ,14.94          ,0            ,.00                ,"2020/07/15","E","2","F",.00            ,.00            ,13.73          ,1      
